Gene name,molecular_function,biological_process,cellular_component,Gene stable ID,Description,Gene Type
ACE,"Peptidase activity
Metallopeptidase activity
Peptidyl-dipeptidase activity
Metal ion binding
Actin binding
Carboxypeptidase activity
Protein binding
Calmodulin binding
Metalloendopeptidase activity
Endopeptidase activity
Zinc ion binding
Mitogen-activated protein kinase binding
Chloride ion binding
Exopeptidase activity
Tripeptidyl-peptidase activity
Mitogen-activated protein kinase kinase binding
Bradykinin receptor binding
Metallodipeptidase activity
Heterocyclic compound binding","Proteolysis
Hormone metabolic process
Regulation of vasoconstriction
Regulation of synaptic plasticity
Regulation of heart rate by cardiac conduction
Kidney development
Positive regulation of peptidyl-cysteine s-nitrosylation
Regulation of blood pressure
Regulation of smooth muscle cell migration
Angiotensin maturation
Blood vessel remodeling
Regulation of renal output by angiotensin
Angiotensin-activated signaling pathway
Neutrophil mediated immunity
Arachidonic acid secretion
Heart contraction
Substance p catabolic process
Bradykinin catabolic process
Hormone catabolic process
Response to hypoxia
Antigen processing and presentation of peptide antigen via mhc class i
Regulation of systemic arterial blood pressure by renin-angiotensin
Positive regulation of systemic arterial blood pressure
Peptide metabolic process
Spermatogenesis
Female pregnancy
Male gonad development
Response to xenobiotic stimulus
Embryo development ending in birth or egg hatching
Post-transcriptional regulation of gene expression
Negative regulation of gene expression
Lung development
Animal organ regeneration
Response to nutrient levels
Response to lipopolysaccharide
Mononuclear cell proliferation
Response to laminar fluid shear stress
Vasoconstriction
Eating behavior
Positive regulation of apoptotic process
Peptide catabolic process
Positive regulation of blood pressure
Positive regulation of vasoconstriction
Negative regulation of glucose import
Lung alveolus development
Amyloid-beta metabolic process
Positive regulation of neurogenesis
Regulation of angiotensin metabolic process
Hematopoietic stem cell differentiation
Angiogenesis involved in coronary vascular morphogenesis
Cellular response to glucose stimulus
Response to dexamethasone
Cell proliferation in bone marrow
Negative regulation of calcium ion import
Response to thyroid hormone
Blood vessel diameter maintenance
Regulation of hematopoietic stem cell proliferation
Negative regulation of gap junction assembly
Cellular response to aldosterone","Cytoplasm
Extracellular region
Membrane
Extracellular space
Plasma membrane
Extracellular exosome
External side of plasma membrane
Lysosome
Endosome
Basal plasma membrane
Brush border membrane
Vesicle
Sperm midpiece",ENSG00000159640,angiotensin I converting enzyme,protein_coding
ACHE,"Cholinesterase activity
Protein binding
Carboxylic ester hydrolase activity
Amyloid-beta binding
Collagen binding
Acetylcholinesterase activity
Protein homodimerization activity
Laminin binding
Acetylcholine binding
Hydrolase activity
Serine hydrolase activity
Identical protein binding","Nervous system development
Positive regulation of protein secretion
Positive regulation of cold-induced thermogenesis
Synapse assembly
Amyloid precursor protein metabolic process
Acetylcholine catabolic process
Cell adhesion
Acetylcholine catabolic process in synaptic cleft
Osteoblast development
Negative regulation of synaptic transmission, cholinergic
Regulation of receptor recycling
Receptor internalization
Retina development in camera-type eye
Acetylcholine receptor signaling pathway","Nucleus
Extracellular region
Plasma membrane
Synapse
Side of membrane
Perinuclear region of cytoplasm
Golgi apparatus
Membrane
Basement membrane
Synaptic cleft
Extracellular space
Cell surface
Neuromuscular junction",ENSG00000087085,acetylcholinesterase (Yt blood group),protein_coding
ACOT13,"Fatty acyl-coa hydrolase activity
Metal ion binding
Hydrolase activity
Protein binding","Lipid metabolic process
Negative regulation of cold-induced thermogenesis
Protein homotetramerization","Nucleus
Cytoplasm
Mitochondrion
Cytoskeleton
Cytosol
Spindle
Mitochondrial matrix",ENSG00000112304,acyl-CoA thioesterase 13,protein_coding
ACP6,"Hydrolase activity
Acid phosphatase activity
Lysophosphatidic acid phosphatase activity","Lipid metabolic process
Phospholipid metabolic process
Phosphatidic acid biosynthetic process
Lysobisphosphatidic acid metabolic process
Hematopoietic progenitor cell differentiation","Mitochondrion
Mitochondrial matrix
Cytoplasm",ENSG00000162836,"acid phosphatase 6, lysophosphatidic",protein_coding
ACP7,"Metal ion binding
Acid phosphatase activity
Hydrolase activity",,Extracellular region,ENSG00000183760,"acid phosphatase 7, tartrate resistant (putative)",protein_coding
ACSL1,"Long-chain fatty acid-coa ligase activity
Atp binding
Ligase activity
Arachidonate-coa ligase activity
Phytanate-coa ligase activity
Pristanate-coa ligase activity
Oleoyl-coa ligase activity
Protein serine/threonine kinase activator activity
Nucleotide binding","Fatty acid metabolic process
Long-chain fatty acid metabolic process
Long-chain fatty-acyl-coa biosynthetic process
Positive regulation of cold-induced thermogenesis
Lipid biosynthetic process
Long-chain fatty acid import into cell
Very long-chain fatty acid metabolic process
Positive regulation of long-chain fatty acid import across plasma membrane
Fatty acid transport
Response to nutrient
Response to xenobiotic stimulus
Response to organic cyclic compound
Triglyceride biosynthetic process
Adiponectin-activated signaling pathway
Response to oleic acid
Xenobiotic catabolic process","Membrane
Endoplasmic reticulum
Endoplasmic reticulum membrane
Mitochondrial outer membrane
Mitochondrion
Peroxisome
Peroxisomal membrane",ENSG00000151726,acyl-CoA synthetase long chain family member 1,protein_coding
ACTBP8,,,,ENSG00000220267,ACTB pseudogene 8,processed_pseudogene
ACTG1P19,,,,ENSG00000237999,actin gamma 1 pseudogene 19,processed_pseudogene
ACTG1P22,,,,ENSG00000271615,actin gamma 1 pseudogene 22,transcribed_processed_pseudogene
ACTG1P9,,,,ENSG00000229349,actin gamma 1 pseudogene 9,processed_pseudogene
ACTL9,"Protein binding
Protein kinase binding
Structural constituent of postsynaptic actin cytoskeleton","Single fertilization
Axonogenesis
Cell motility
Postsynaptic actin cytoskeleton organization
Fertilization
Acrosome assembly","Cytoplasm
Cytoskeleton
Acrosomal vesicle
Cytoplasmic vesicle
Membrane
Synapse
Actin filament
Axon
Nua4 histone acetyltransferase complex
Sperm head
Perinuclear theca",ENSG00000181786,actin like 9,protein_coding
ACTN1,"Protein binding
Calcium ion binding
Metal ion binding
Actin binding
Actin filament binding
Cytoskeletal protein binding
Transmembrane transporter binding
Protein homodimerization activity
Nuclear receptor coactivator activity
Integrin binding
Vinculin binding
Double-stranded rna binding
Structural constituent of postsynapse","Actin cytoskeleton organization
Positive regulation of dna-templated transcription
Muscle cell development
Regulation of apoptotic process
Actin filament organization
Focal adhesion assembly
Platelet formation
Platelet morphogenesis
Actin filament network formation
Postsynapse organization
Actin filament bundle assembly","Cytoplasm
Plasma membrane
Cell projection
Cytoskeleton
Cortical actin cytoskeleton
Stress fiber
Ruffle
Z disc
Cell junction
Anchoring junction
Extracellular region
Extracellular space
Focal adhesion
Cytosol
Extracellular exosome
Pseudopodium
Platelet alpha granule lumen
Cell-cell junction
Actin filament
Glutamatergic synapse
Brush border
Fascia adherens
Sarcomere",ENSG00000072110,actinin alpha 1,protein_coding
ACTN1-DT,,,,ENSG00000259062,ACTN1 divergent transcript,lncRNA
ACTR3C,"Actin binding
Atp binding
Molecular_function
Actin filament binding",Biological_process,Extracellular exosome,ENSG00000106526,actin related protein 3C,protein_coding
ACVR1C,"Atp binding
Transmembrane receptor protein serine/threonine kinase activity
Protein kinase activity
Metal ion binding
Protein serine/threonine kinase activity
Growth factor binding
Activin receptor activity, type i
Nodal binding","Cell surface receptor protein serine/threonine kinase signaling pathway
Protein phosphorylation
Apoptotic process
Cell differentiation
Regulation of multicellular organismal process
Positive regulation of metabolic process
Transforming growth factor beta receptor superfamily signaling pathway
Nervous system development
Cellular response to growth factor stimulus
Nodal signaling pathway
Activin receptor signaling pathway
Negative regulation of trophoblast cell migration
Positive regulation of apoptotic process
Positive regulation of cysteine-type endopeptidase activity involved in apoptotic process
Apoptotic nuclear changes
Trophectodermal cell proliferation
Response to dietary excess
Response to glucose
Lipid storage
Insulin secretion
Response to insulin
Negative regulation of insulin secretion
Negative regulation of chorionic trophoblast cell proliferation","Membrane
Plasma membrane
Activin receptor complex",ENSG00000123612,activin A receptor type 1C,protein_coding
